DBM_IN,DBM_OUT
-10,-10
-9.5,-9.5
-9,-9
-8.5,-8.5
-8,-8
-7.5,-7.5
-7,-7
-6.5,-6.5
-6,-6
-5.5,-5.5
-5,-5
-4.5,-4.5
-4,-4
-3.5,-3.5
-3,-3
-2.5,-2.5
-2,-2
-1.5,-1.5
-1,-1
-0.5,-0.5
0,0
0.5,0.5
1,1
1.5,1.5
2,2
2.5,2.5
3,3
3.5,3.5
4,4
4.5,4.5
5,5
5.5,5.5
6,5.5
6.5,5.8
7,6
7.5,6.2
8,6.4
8.5,6.5
9,6.7
9.5,6.8
10,6.9
10.5,7
11,7.1
11.5,7.2
12,7.3
12.5,7.4
13,7.5
13.5,7.55
14,7.6
14.5,7.65
15,7.7
15.5,7.75
16,7.8
16.5,7.85
17,7.9
17.5,7.95
18,8
18.5,8.05
19,8.1
19.5,8.15
20,8.2
20.5,8.25
21,8.3
21.5,8.35
22,8.4
22.5,8.45
23,8.5
23.5,8.55
24,8.6
24.5,8.65
25,8.7
25.5,8.75
26,8.8
26.5,8.85
27,8.9
27.5,8.95
28,9
28.5,9.05
29,9.1
29.5,9.15
30,9.2
