DBM_IN,DBM_OUT
-10,-10
-9.5,-9.5
-9,-9
-8.5,-8.5
-8,-8
-7.5,-7.5
-7,-7
-6.5,-6.5
-6,-6
-5.5,-5.5
-5,-5
-4.5,-4.5
-4,-4
-3.5,-3.5
-3,-3
-2.5,-2.5
-2,-2
-1.5,-1.5
-1,-1
-0.5,-0.5
0,0
0.5,0.25
1,0.5
1.5,0.75
2,1
2.5,1.25
3,1.5
3.5,1.75
4,2
4.5,2.25
5,2.5
5.5,2.75
6,3
6.5,3.2
7,3.4
7.5,3.6
8,3.8
8.5,4
9,4.1
9.5,4.2
10,4.3
10.5,4.4
11,4.5
11.5,4.6
12,4.7
12.5,4.8
13,4.9
13.5,5
14,5.05
14.5,5.1
15,5.15
15.5,5.2
16,5.25
16.5,5.3
17,5.35
17.5,5.4
18,5.45
18.5,5.5
19,5.55
19.5,5.6
20,5.65
20.5,5.7
21,5.75
21.5,5.8
22,5.85
22.5,5.9
23,5.95
23.5,6
24,6.05
24.5,6.1
25,6.15
25.5,6.2
26,6.25
26.5,6.3
27,6.35
27.5,6.4
28,6.45
28.5,6.5
29,6.55
29.5,6.6
30,6.65
