DBM_IN,DBM_OUT
-10,-10
-9.5,-9.5
-9,-9
-8.5,-8.5
-8,-8
-7.5,-7.5
-7,-7
-6.5,-6.5
-6,-6
-5.5,-5.5
-5,-5
-4.5,-4.5
-4,-4
-3.5,-3.5
-3,-3
-2.5,-2.5
-2,-2
-1.5,-1.5
-1,-1
-0.5,-0.5
0,0
0.5,0.5
1,1
1.5,1.5
2,2
2.5,2.5
3,3
3.5,3.5
4,4
4.5,4.5
5,5
5.5,5.5
6,6
6.5,6.5
7,7
7.5,7.5
8,8
8.5,8.5
9,9
9.5,9.5
10,10
10.5,10.5
11,11
11.5,11.2
12,11
12.5,11.3
13,11.5
13.5,11.6
14,11.7
14.5,11.8
15,11.9
15.5,12
16,12.1
16.5,12.2
17,12.2
17.5,12.3
18,12.3
18.5,12.4
19,12.4
19.5,12.5
20,12.5
20.5,12.6
21,12.6
21.5,12.7
22,12.7
22.5,12.7
23,12.8
23.5,12.8
24,12.8
24.5,12.8
25,12.8
25.5,12.8
26,12.8
26.5,12.8
27,12.8
27.5,12.8
28,12.8
28.5,12.8
29,12.8
29.5,12.8
30,12.8
