DBM_IN,DBM_OUT
-10,-10
-9.5,-9.5
-9,-9
-8.5,-8.5
-8,-8
-7.5,-7.5
-7,-7
-6.5,-6.5
-6,-6
-5.5,-5.5
-5,-5
-4.5,-4.5
-4,-4
-3.5,-3.5
-3,-3
-2.5,-2.5
-2,-2
-1.5,-1.5
-1,-1
-0.5,-0.5
0,0
0.5,0.5
1,1
1.5,1.5
2,2
2.5,2.5
3,3
3.5,3.5
4,4
4.5,4.5
5,5
5.5,5.5
6,6
6.5,6.5
7,7
7.5,7.5
8,8
8.5,8.5
9,9
9.5,9
10,9
10.5,9.2
11,9.3
11.5,9.4
12,9.5
12.5,9.6
13,9.7
13.5,9.75
14,9.8
14.5,9.85
15,9.9
15.5,9.95
16,10
16.5,10.05
17,10.1
17.5,10.15
18,10.2
18.5,10.25
19,10.3
19.5,10.35
20,10.4
20.5,10.45
21,10.5
21.5,10.55
22,10.6
22.5,10.65
23,10.7
23.5,10.75
24,10.8
24.5,10.85
25,10.9
25.5,10.95
26,11
26.5,11.05
27,11.1
27.5,11.15
28,11.2
28.5,11.25
29,11.3
29.5,11.35
30,11.4
