dbm in,dbm out
-10.0,-1.0
-9.5,-0.5
-9.0,0.0
-8.5,0.5
-8.0,1.0
-7.5,1.5
-7.0,2.0
-6.5,2.5
-6.0,3.0
-5.5,3.5
-5.0,4.0
-4.5,4.5
-4.0,5.0
-3.5,5.5
-3.0,6.0
-2.5,6.5
-2.0,7.0
-1.5,7.5
-1.0,8.0
-0.5,8.5
0.0,9.0
0.5,9.5
1.0,10.0
1.5,10.5
2.0,11.0
2.5,11.5
3.0,12.0
3.5,12.5
4.0,13.0
4.5,13.5
5.0,14.0
5.5,14.5
6.0,15.0
6.5,15.5
7.0,16.0
7.5,16.5
8.0,17.0
8.5,17.5
9.0,18.0
9.5,18.5
10.0,19.0
10.5,19.5
11.0,20.0
11.5,20.5
12.0,21.0
12.5,21.5
13.0,22.0
13.5,22.5
14.0,23.0
14.5,23.5
15.0,24.0
15.5,24.5
16.0,25.0
16.5,25.5
17.0,26.0
17.5,26.5
18.0,27.0
18.5,27.5
19.0,28.0
19.5,28.5
20.0,29.0
20.5,29.5
21.0,30.0
21.5,30.5
22.0,31.0
22.5,31.5
23.0,32.0
23.5,32.5
24.0,33.0
24.5,33.5
25.0,34.0
