dbm in,dbm out
-10.0,-1.0
-9.5,-1.0
-9.0,-0.5
-8.5,-0.5
-8.0,-0.5
-7.5,0.0
-7.0,0.0
-6.5,0.0
-6.0,0.0
-5.5,0.5
-5.0,0.5
-4.5,0.5
-4.0,1.0
-3.5,1.0
-3.0,1.0
-2.5,1.0
-2.0,1.5
-1.5,1.5
-1.0,1.5
-0.5,2.0
0.0,2.0
0.5,2.0
1.0,2.5
1.5,2.5
2.0,2.5
2.5,3.0
3.0,3.0
3.5,3.0
4.0,3.0
4.5,3.5
5.0,3.5
5.5,3.5
6.0,4.0
6.5,4.0
7.0,4.0
7.5,4.0
8.0,4.5
8.5,4.5
9.0,4.5
9.5,5.0
10.0,5.0
10.5,7.0
11.0,9.0
11.5,11.0
12.0,11.0
12.5,11.0
13.0,11.0
13.5,11.0
14.0,11.0
14.5,11.0
15.0,11.0
15.5,11.0
16.0,11.0
16.5,11.0
17.0,11.0
17.5,11.0
18.0,11.0
18.5,11.0
19.0,11.0
19.5,11.0
20.0,11.0
20.5,11.0
21.0,11.0
21.5,11.0
22.0,11.0
22.5,11.0
23.0,11.5
23.5,11.5
24.0,11.5
24.5,11.5
25.0,11.5
