dbm in,dbm out
-10.0,-1.0
-9.5,-0.5
-9.0,-0.5
-8.5,0.0
-8.0,0.0
-7.5,0.5
-7.0,1.0
-6.5,1.0
-6.0,1.5
-5.5,1.5
-5.0,2.0
-4.5,2.5
-4.0,2.5
-3.5,3.0
-3.0,3.0
-2.5,3.5
-2.0,4.0
-1.5,4.0
-1.0,4.5
-0.5,4.5
0.0,5.0
0.5,5.0
1.0,5.5
1.5,5.5
2.0,6.0
2.5,6.0
3.0,6.0
3.5,6.5
4.0,6.5
4.5,7.0
5.0,7.0
5.5,7.0
6.0,7.0
6.5,7.0
7.0,7.0
7.5,7.0
8.0,7.5
8.5,7.5
9.0,7.5
9.5,7.5
10.0,7.5
10.5,7.5
11.0,7.5
11.5,7.5
12.0,7.5
12.5,7.0
13.0,7.0
13.5,7.0
14.0,7.0
14.5,7.0
15.0,7.0
15.5,7.0
16.0,7.0
16.5,6.5
17.0,6.5
17.5,6.5
18.0,6.5
18.5,6.5
19.0,6.0
19.5,6.0
20.0,6.0
20.5,6.0
21.0,6.0
21.5,6.0
22.0,6.0
22.5,6.0
23.0,5.5
23.5,5.5
24.0,5.5
24.5,5.5
25.0,5.5
