dbm in,dbm out
-10.0,-6.0
-9.5,-5.5
-9.0,-5.0
-8.5,-4.5
-8.0,-4.0
-7.5,-3.5
-7.0,-3.0
-6.5,-2.5
-6.0,-2.0
-5.5,-1.5
-5.0,-1.0
-4.5,-0.5
-4.0,-0.5
-3.5,0.0
-3.0,0.0
-2.5,0.5
-2.0,1.0
-1.5,1.0
-1.0,1.5
-0.5,1.5
0.0,2.0
0.5,2.0
1.0,2.0
1.5,2.0
2.0,2.0
2.5,2.0
3.0,2.0
3.5,2.0
4.0,2.0
4.5,2.0
5.0,2.0
5.5,2.0
6.0,2.0
6.5,2.0
7.0,2.0
7.5,2.0
8.0,2.0
8.5,2.0
9.0,2.0
9.5,2.0
10.0,2.0
10.5,2.0
11.0,2.0
11.5,2.0
12.0,2.0
12.5,2.0
13.0,2.0
13.5,2.0
14.0,2.0
14.5,2.0
15.0,2.0
15.5,2.0
16.0,2.0
16.5,2.0
17.0,2.0
17.5,2.0
18.0,2.0
18.5,2.0
19.0,2.0
19.5,2.0
20.0,2.0
20.5,2.0
21.0,2.0
21.5,2.0
22.0,2.0
22.5,2.0
23.0,2.0
23.5,2.0
24.0,2.0
24.5,2.0
25.0,2.0
