dbm in,dbm out
-10.0,-1.0
-9.5,-0.5
-9.0,0.0
-8.5,0.0
-8.0,0.5
-7.5,1.0
-7.0,1.5
-6.5,2.0
-6.0,2.0
-5.5,2.5
-5.0,3.0
-4.5,3.5
-4.0,4.0
-3.5,4.0
-3.0,4.5
-2.5,5.0
-2.0,5.5
-1.5,6.0
-1.0,6.0
-0.5,6.5
0.0,7.0
0.5,7.0
1.0,7.5
1.5,7.5
2.0,8.0
2.5,8.0
3.0,8.0
3.5,8.5
4.0,8.5
4.5,9.0
5.0,9.0
5.5,9.0
6.0,9.0
6.5,9.5
7.0,9.5
7.5,9.5
8.0,9.5
8.5,9.5
9.0,10.0
9.5,10.0
10.0,10.0
10.5,10.0
11.0,10.0
11.5,10.0
12.0,10.0
12.5,10.0
13.0,10.0
13.5,10.0
14.0,10.0
14.5,10.0
15.0,10.0
15.5,10.0
16.0,10.0
16.5,10.0
17.0,10.0
17.5,10.0
18.0,10.0
18.5,10.0
19.0,10.0
19.5,10.0
20.0,10.0
20.5,10.0
21.0,10.0
21.5,10.0
22.0,10.0
22.5,10.0
23.0,10.0
23.5,10.0
24.0,10.0
24.5,10.0
25.0,10.0
